Words,Length,AROU,CNC,SIZE
,,M,M,M
heart,5,6.258,6.033,4.097
hearth,6,4.035,5.185,3.821
heater,6,4.424,6.387,3.656
heaven,6,6.219,2.314,6.455
heavy,5,4.844,3.645,5.281
hedgehog,8,4.667,6.733,2.188
heel,4,3.514,6.371,2.257
heir,4,5.286,4.943,4.647
helicopter,10,5.303,6.727,5.303
hell,4,5.6,2.343,6.057
help,4,4.563,3.229,4.647
helpful,7,5.303,3.182,4.742
helpless,8,4.147,2.71,4.212
hen,3,3.455,6.794,2.143
hen (chicken),3,3.588,6.6,2.194
hen (woman),3,4.546,5.375,3.394
henchman,8,5.333,5.667,4.656
herb,4,3.882,6.029,2.029
herbal,6,4.152,4.879,2.97
herd,4,3.97,5,5.419
heredity,8,4.367,4.167,4.9
hernia,6,4.621,6.03,3.576
hero,4,7.171,3.576,5.943
heroin,6,5.118,5.794,4.324
heroine,7,6.212,5.029,5.294
heroism,7,6.849,2.714,5.657
herring,7,3.147,5.677,2.794
hesitant,8,3.839,2.788,3.5
hesitate,8,3.412,2.588,3.514
hesitation,10,4.25,3.177,3.758
hidden,6,4.029,3.265,3.273
hide,4,4.063,4.548,3.781
hideaway,8,4.714,4.686,3.457
hierarchy,9,5.118,3.188,6.057
high,4,5.879,3.667,5.324
highway,7,3.824,6.353,5.412
hilarious,9,7.229,3.353,5.394
hill,4,4.129,6.654,4.871
hinder,6,3.697,3.226,3.794
hint,4,4.4,3,2.788
hippie,6,4.967,4.375,3.774
hippo,5,4.242,6.743,5.029
hippopotamus,12,4.882,6.886,5.629
historical,10,3.714,3.912,5.314
history,7,3.849,3.758,5.818
hit,3,5.371,5.514,3.829
hit (beat on),3,4.879,5,4.441
hit (music),3,5.657,4,4.286
hobble,6,3.424,4.5,2.939
hockey,6,4.548,5.807,4.419
hog,3,3.057,6.2,3.714
hold,4,4.344,4.303,3.469
hold (grasp),4,4.765,4.735,3.818
hold (store),4,3.086,4.5,4.758
holiday,7,6.909,4.625,5.061
holidays,8,7.303,4.938,5.125
hollow,6,3.303,4.177,3.636
holy,4,4.844,2.849,4.879
home,4,5.129,4.571,4.818
homicide,8,5.8,4.771,5.457
honest,6,5.559,2.879,5.333
honesty,7,5.719,2.514,5.257
honey,5,5.206,5.8,2.8
honeycomb,9,5.4,6.206,3.229
honeymoon,9,6.424,4.469,4.813
honour,6,6.471,2.147,5.543
hood,4,3.281,6.188,2.794
hooded,6,3.97,4.97,3.438
hoof,4,3.313,6.094,2.656
hook,4,3.771,6.118,2.735
hooker,6,5.788,5.313,4.353
hooker (prostitute),6,5.438,6.091,4.424
hooker (rugby),6,3.533,5.733,3.962
hooves,6,3.686,6.294,2.853
hope,4,6.849,2.455,5.735
hopeful,7,6.143,2.618,4.818
horn,4,4.879,6.629,3
horrible,8,4.742,2.531,5.1
horrid,6,4.057,2.6,4.343
horror,6,6.212,3.065,5.281
horse,5,4.871,6.875,4.849
hospital,8,4.743,6.886,6
host,4,4.424,4.879,4.333
hostage,7,5.714,5.429,4.429
hostess,7,5.086,5.886,3.618
hostile,7,5.677,3.581,4.909
hotel,5,5.281,6.727,5
hound,5,4.229,6.029,3.472
hound (dog),5,5.152,6.576,3.606
hound (persist),5,4.727,2.97,4.152
hour,4,3.875,4,4.235
house,5,4.355,6.391,4.781
hover,5,4.618,4.061,3.645
hovercraft,10,5.6,6,5
hug,3,6.364,5.588,4.75
hull,4,3,5.548,4.441
human,5,5.633,5.567,5.031
humane,6,4.853,2.971,5
humanitarian,12,4.485,3.688,5.061
humanity,8,5.029,4.059,6.118
humble,6,4.2,2.412,3.6
humiliate,9,4.455,2.091,4.484
humiliated,10,3.853,2.4,4.6
humiliation,11,4.97,2.788,5.375
hummingbird,11,4.382,6.576,2.152
humorous,8,6.875,3.094,5.226
humour,6,6.8,2.647,4.559
hurdle,6,4.546,4.875,4.294
hurricane,9,6.344,6.03,5.941
hurry,5,5.206,3.382,4.265
hurt,4,4.647,3.441,4.849
husband,7,5.588,5.971,4.706
hush,4,3.529,3.412,2.452
hydrant,7,3.576,6,3.485
hymn,4,3,4.829,3.486
hypothesis,10,4,2.943,4.971
ice,3,5.212,6.375,3.455
iceberg,7,5.029,6.829,5.857
icing,5,5.281,6.063,2.548
idea,4,5.912,2.177,5.303
ideal,5,5.824,2.807,4.788
identity,8,5.531,2.219,5.156
idiot,5,4.344,4.143,3.618
idiotic,7,4.824,2.588,4.371
idle,4,3.219,2.818,3.452
idol,4,5.767,3.333,5.161
igloo,5,4.781,6.484,4.094
ignorant,8,4.656,2.727,4.875
ignore,6,3.677,3.059,4.333
ill,3,3.879,4.061,3.941
illness,7,3.469,4.387,4.813
illusion,8,6,2.941,4.677
illustration,12,4.546,5.088,4.121
image,5,4.788,3.455,4.121
imagination,11,7.314,2.543,6.257
imaginative,11,6.824,2.265,5.265
imagine,7,7.059,1.914,5.743
imam,4,3.857,4.895,3.053
immature,8,3.857,2.706,3.382
immense,7,6.75,2.625,6.313
immoral,7,4.029,1.647,4.743
immune,6,4.094,3.606,4.394
immunity,8,4.571,3.471,4.688
impact,6,5.516,3.871,5.742
impair,6,3.618,3.824,3.912
impaired,8,3.531,3.097,3.968
import,6,3.469,4.281,4.441
important,9,5.936,2.469,5.563
imported,8,3.818,3.909,4.273
impose,6,4.75,2.813,4.567
imposing,8,4.912,2.471,5.303
impossible,10,4.086,2.118,5.909
impotent,8,3.724,3.536,3.964
impress,7,6.143,3.485,4.939
impression,10,4.909,2.912,4.457
impressionism,13,4.345,2.25,4.563
impressive,10,7.171,3.114,5.882
impropriety,11,3.962,2.667,4.423
improve,7,5.429,3,4.971
improvement,11,5.829,2.943,5.364
impulse,7,6.636,3.033,4.677
impulsive,9,7.394,2.912,5.235
inane,5,3.522,2.346,3.44
incentive,9,6.188,2.75,4.871
incest,6,3.849,4.118,4.455
inch,4,3.677,5.206,1.857
incident,8,4.719,4.323,5.03
incompetent,11,3.441,2.882,4.177
incredible,10,7.758,2.546,5.867
indentify,9,4.143,2.594,3.966
independence,12,7.469,2.433,6.121
independent,11,6.939,3,5.133
index,5,3.156,4.455,4.129
indifferent,11,2.824,3,3.706
indoor,6,3.882,5.441,3.324
induce,6,5.152,3.143,4.177
industrial,10,3.849,4.6,5.471
industry,8,3.886,4.486,6.177
inebriated,10,4.033,2.933,3.714
inefficient,11,3.086,2.177,3.429
infant,6,4.333,6,2.265
infatuation,11,6.355,3,5.621
infect,6,4.469,4.438,4.677
infection,9,4.471,5.353,4.686
infectious,10,5.879,4.471,5.257
inferior,8,3.546,2.531,3.625
infinite,8,5.618,1.636,6.647
infinity,8,6.571,2.229,6.667
infirm,6,3.846,3.846,3.962
infirmary,9,4.875,5.849,5.242
inflame,7,5.353,4.265,4.424
infringe,8,4.094,2.857,4.094
ingratitude,11,4,2.258,4.594
inhabitant,10,3.912,4.971,4.147
injury,6,5.091,5,4.394
ink,3,4.161,6.333,2.5
inkling,7,4.303,2.333,2.912
inn,3,3.286,5.941,3.939
innate,6,4.364,3.323,3.906
innocent,8,4.559,2.588,3.706
input,5,4.759,3.452,3.7
insane,6,5.444,2.528,5.167
insanity,8,6.219,2.455,5.394
insect,6,3.647,6.667,1.879
insecticide,11,3.758,5.8,3.606
insecure,8,3.909,2.394,4.29
insecurity,10,3.629,2.686,4.457
insincere,9,4.906,2.281,4.129
insolent,8,4.679,2.897,4.194
inspect,7,4.171,3.314,3.943
inspection,10,4.912,3.471,4.412
inspector,9,4.647,5.857,4.486
inspiration,11,7.735,2.206,5.875
inspire,7,7.645,2.182,5.484
inspired,8,6.438,2.371,5.143
install,7,4,3.438,4.063
installed,9,3.943,4.177,3.588
instance,8,3.375,2.758,2.875
instant,7,5.355,3.273,3.1
instinct,8,5.686,2.457,4.529
institution,11,3.727,5,5.588
instructor,10,4.969,4.807,4.242
instrument,10,4.818,6.265,4.323
insufficient,12,3.156,3,2.807
insult,6,5.143,3.514,4.457
insulting,9,5.242,3.125,5.059
insurance,9,3.576,3.912,4.844
intellect,9,6.303,2.706,5.559
intellectual,12,6.743,2.829,5.5
intelligence,12,6.636,3.118,5.941
intelligent,11,6.559,3.485,5.706
intend,6,3.828,3.086,3.941
intense,7,7.029,2.486,5.706
intercontinental,16,5.353,3.688,5.382
intercourse,11,7.636,5.5,4.727
interest,8,5.886,2.743,4.886
interest (attention),8,6.286,2.618,4.882
interest (monetary),8,4.061,3.576,4.333
interesting,11,6.971,2.788,5.457
interim,7,3.074,3.269,4.04
interview,9,4.849,4.5,4.969
intimate,8,6.588,2.882,4.364
introduce,9,5.563,3.629,4.206
introduction,12,4.091,4.059,3.563
intruder,8,4.735,5.382,4.943
invader,7,5.647,4.971,5.5
inventor,8,5.807,5.063,4.719
invest,6,4.824,4,4.571
investigation,13,5.219,3.727,5.121
investment,10,4.471,3.657,5.657
invoice,7,3.294,4.686,3.303
iron,4,3.265,6.088,3.618
iron (metal),4,3.1,6.727,3.839
iron (press),4,2.912,5.743,3.206
ironing,7,2.219,5.849,3.121
irony,5,4.242,2.5,4.182
irresistible,12,7.485,2.968,5.129
irritate,8,4.914,3.343,4.457
irritating,10,5.258,2.774,4.281
irritation,10,5.194,3.065,3.742
island,6,5.438,6.313,4.824
islander,8,4.412,4.844,3.625
isle,4,3.303,5.667,3.941
issue,5,4.206,3.147,4.529
issue (distribute),5,3.714,3.206,4.343
issue (topic),5,4.849,3.364,4.727
itchy,5,5.531,3.606,3.563
item,4,3.212,5.594,2.879
ivory,5,4.581,5.679,4.2
jackal,6,4.6,5.879,4.177
jacket,6,4.412,6.743,3.229
jacuzzi,7,6.286,6.588,4.618
jaguar,6,6.5,6.546,4.813
jail,4,5.829,6.457,5.143
jailer,6,3.879,5.515,4.438
jam,3,3.576,6.1,2.452
jam (preserve),3,3.576,6.471,2.353
jam (traffic),3,4.286,6,5.182
jargon,6,3.742,3.313,3.97
jazz,4,5.813,4.667,4.182
jealous,7,5.529,2.471,4.667
jealousy,8,5.529,2.677,5.121
jeans,5,4.818,6.871,3.188
jeep,4,4.308,6.569,4.667
jelly,5,5.088,5.912,2.543
jellyfish,9,5.212,6.677,2.824
jeopardy,8,6.063,3.394,5.364
jet,3,5.636,6.294,5.382
jewel,5,6.5,6.286,2.686
jewellery,9,5.5,6.429,3.059
jewels,6,5.743,6.088,3.088
jigsaw,6,3.323,6.219,2.323
job,3,4.941,4.735,4.677
jockey,6,3.909,5.879,3.281
jog,3,4.438,5.471,3.273
jogging,7,4.813,5.594,3.906
joiner,6,3.121,6.03,3.8
joint,5,5,5.469,3.375
joint (elbow),5,3.424,6.5,2.941
joint (meat),5,4.697,5.875,3.152
joke,4,6.765,3.5,4.324
jolly,5,5.886,3.371,4.941
journal,7,4.182,6.147,3.394
joy,3,6.941,3.235,5.118
joyful,6,6.333,2.886,4.971
jubilant,8,7.156,2.467,5.581
judge,5,4.6,5.086,4.853
judge (courtroom),5,4.969,5.879,5.091
judge (evaluate),5,5.088,2.971,5.171
jug,3,3.794,6.441,2.771
juggle,6,4.939,4.936,3.382
juggler,7,3.879,6.265,3.412
jumble,6,3.889,3.824,4.222
jumper,6,4.097,6.25,3.406
jumper (athlete),6,5.353,6.152,3.909
jumper (sweater),6,3.636,6.677,3.647
jungle,6,5.788,6.485,6.313
junk,4,3.242,5.088,3.471
jury,4,4.606,5.588,4.324
justice,7,6.143,2.971,5.714
justify,7,4.147,2.588,4.765
kangaroo,8,5.844,6.833,4.438
keen,4,5.909,2.667,4.161
keg,3,4.242,5.771,3.571
ketchup,7,4.088,6.429,3.324
key,3,4.206,6.382,2.147
key (crucial),3,5,3.182,5.355
key (keyboard),3,3.382,6.588,2.265
key (lock),3,4.188,6.531,2.667
key (musical),3,4.909,4.853,3.313
keyboard,8,3.844,6.75,3.516
keys,4,3.2,6.6,2.257
kick,4,5.71,5.581,4.091
kidnap,6,5.364,4.697,5.212
kidnapped,9,5.706,4.324,5.235
kidney,6,3.371,6.371,3
kids,4,5.394,6.412,4.118
kids (children),4,4.457,6.206,3.618
kids (goats),4,3.515,6.4,2.971
kill,4,5.086,4.229,5.857
killed,6,5.029,5,5.818
killer,6,6.303,5.394,5.939
kilt,4,4.853,6.743,3.314
kin,3,4.618,4.706,4.182
kind,4,5.531,2.879,4.581
kind (nice),4,5.697,3.226,4.471
kind (type),4,3.758,3.03,3.882
king,4,5.706,6.235,5.8
kingdom,7,5.818,4.219,6.394
kinky,5,7.531,3.303,4.061
kipper,6,2.75,6,2.161
kiss,4,8,5.686,4.559
kissing,7,7.727,5.576,4.303
kite,4,5.057,6.382,2.971
kite (bird),4,4.094,6.471,2.485
kite (toy),4,5.235,6.429,2.686
kitten,6,5.147,6.765,2.206
kiwi,4,4.686,6.529,1.886
kiwi (bird),4,3.6,6.429,2.706
kiwi (fruit),4,4.857,6.424,2.314
kiwi (New Zealander),4,5.063,5.161,3.645
kneel,5,4.455,5.657,3.143
knife,5,5.813,6.586,3.031
knifed,6,5.333,5.515,5.156
knight,6,5.424,5.241,4.188
knit,4,2.559,5.353,2.75
knock,5,4.875,5.807,3.903
knot,4,3.343,6.235,2.686
knots,5,3.424,6.152,2.714
knots (rope),5,3.969,6.061,2.853
knots (speed),5,4.25,3.788,3.781
know,4,5.129,2.161,4.781
knowledge,9,7.129,2.387,5.875
knuckle,7,4.059,6.438,2.758
knuckles,8,3.879,6.5,2.706
koala,5,5.844,6.8,3.133
label,5,3.714,5.314,3.125
lace,4,4.879,6.353,2.2
laced,5,5.457,4.235,2.912
laces,5,4.029,6.429,2.457
lacking,7,2.875,2.606,2.906
lad,3,4.543,5.057,3.686
ladder,6,3.412,6.588,4.212
ladies,6,5.735,6.323,4.343
lady,4,5.382,6.353,3.697
ladybird,8,4.2,6.667,1.571
lager,5,5,5.844,3.333
lagoon,6,5.697,6.147,5.5
lake,4,4.303,6.548,5.353
lamb,4,4.485,6.531,2.818
lamp,4,3.294,6.531,2.636
lance,5,4.433,4.8,4.1
land,4,3.922,6.175,5.851
landing,7,4.029,4.8,4.429
landing (plane),7,4.546,5.471,4.765
landing (stairs),7,3.294,6.343,3.914
landscape,9,5.03,5.714,5.765
lane,4,3.743,5.647,3.441
language,8,4.938,3.394,5.719
lantern,7,4.875,6.546,3.314
lapel,5,2.929,5.414,2.6
large,5,5.75,2.969,5.969
lark,4,3.828,5.448,2.966
lark (bird),4,3.8,6.548,2.533
lark (fun),4,5.938,3.469,4.25
last,4,3.29,3.727,4
latent,6,2.867,3.097,3.655
laugh,5,7.471,4.206,5.265
laughter,8,7.375,4.364,5.194
launch,6,5.516,3.313,5.094
lavish,6,6.688,3.063,5.387
law,3,3.6,3.613,5.563
lawn,4,2.968,6.3,4.219
lawsuit,7,4.543,5.114,5.636
lawyer,6,4.333,6.382,4.364
lazy,4,2.939,3.735,3.273
lead,4,4.25,4.294,4.529
lead (direct),4,4.941,3.6,4.943
lead (heavy metal),4,3.2,6.543,4.457
lead (leash),4,4.091,6.061,3.03
leader,6,6.057,4.706,5.657
leaf,4,3.543,6.324,2.121
leaflet,7,3.441,6.031,3
league,6,3.844,4,4.706
lean,4,4.257,4.091,2.971
lean (skinny),4,4.758,4.455,2.406
lean (tilt),4,3.647,4.455,3.594
learn,5,6,3.314,5.294
learning,8,5.645,3.531,5.188
least,5,2.8,3.294,2.303
leather,7,4.677,6.412,3.441
leaves,6,3.943,6.429,2
lecture,7,2.97,5.206,4.824
lecturer,8,3.657,6.314,4.086
ledge,5,3.531,5.2,3.143
leg,3,4.5,6.543,3.559
leg (component),3,3.438,6,3.387
leg (limb),3,4.371,6.882,3.686
legal,5,3.849,4.242,5
legend,6,5.794,3.546,5.75
legend (key),6,3.482,4.926,3.357
legend (tale),6,6.086,3.382,5.529
leggings,8,3.849,6.212,2.677
legion,6,5.25,4,5.969
legislation,11,3.121,4.156,5.031
legislator,10,3.313,5.094,4.194
legs,4,5.5,6.867,3.182
leisure,7,5.765,3.457,4.706
lemon,5,4.966,6.742,2
lemonade,8,4.688,6.29,2.677
lend,4,3.906,2.788,3.75
length,6,4.032,3,4.387
leopard,7,5.75,6.727,4.235
leprosy,7,3.645,6.032,4.469
lesbian,7,6.059,5.177,4.294
lesson,6,5.114,4.829,4.412
letter,6,4.686,6.286,2.794
letter (alphabet),6,2.576,5.212,2.364
letter (correspondence),6,4.5,6.057,2.853
letters,7,4.061,5.429,3.5
letters (alphabet),7,3.515,5.688,3.229
letters (correspondence),7,4.057,5.515,3.057
lettuce,7,2.556,6.743,2.194
liar,4,5.424,3.333,4.636
liberty,7,5.853,2.647,5.697
librarian,9,3.688,6.182,3.618
library,7,3.625,6.656,4.909
lice,4,3.742,6.4,1.677
lid,3,2.677,6.455,2.143
lie,3,5.606,2.941,4.546
lie (position),3,3.857,4.914,3.229
lie (untruth),3,4.647,3.382,4.677
lies,4,5.226,2.516,4.903
lies (position),4,3.941,4.629,3.677
lies (untruths),4,4.936,3.029,4.677
life,4,6.735,2.719,6.412
lift,4,4.514,5.059,4.303
lift (elevator),4,3.531,6.688,3.8
lift (raise),4,4.143,4.829,4.086
light,5,5.656,4.968,4.688
light (brightness),5,6.294,5.303,5.735
light (weight),5,3.677,4.086,2.235
lightbulb,9,3.281,6.781,2.645
lighthouse,10,3.853,6.486,5.471
lighting,8,5.219,5.516,4.686
lightning,9,7.032,6.03,5.455
lights,6,5.5,5.941,3.971
like,4,5.5,3.059,4.152
like (love),4,6.735,2.941,5.559
like (similar to),4,3.382,2.727,3.273
lilac,5,4.379,5.133,3.133
limb,4,3.588,6.371,3.571
limb (body),4,3.824,6.714,3.914
limb (tree),4,3.303,6.265,4.121
limber,6,4.645,4.133,3.548
lime,4,4.767,6.452,2
limit,5,3.543,2.824,3.714
limited,7,4.161,2.455,2.906
limousine,9,5.143,6.543,4.882
limp,4,3.343,4.719,3.177
line,4,3.313,5.529,3.147
linear,6,3.194,3.857,3.824
link,4,3.879,3.485,2.906
lion,4,6.727,6.8,5.048
lioness,7,6.647,6.559,5.242
lip,3,5.29,6.375,2.188
lips,4,6.844,6.786,2.839
lipstick,8,5.29,6.517,2.2
liquid,6,4.177,6.118,3.618
liquor,6,6.206,6.324,3.529
list,4,3.088,5.343,3.229
listless,8,3.219,2.807,3.364
literature,10,5.879,5.382,4.943
litre,5,3.382,5.618,3.424
litter,6,3.257,5.824,2.912
litter (animal babies),6,4.758,6.5,2.688
litter (trash),6,3.029,6.576,3.229
little,6,3.406,3.97,1.727
live,4,6.344,4.4,5.375
live (not recorded),4,6.25,4.531,5.063
live (to exist),4,6.758,4.091,5.758
lively,6,6.656,3.546,4.849
lizard,6,4.697,6.606,2.818
llama,5,3.735,6.647,3.824
load,4,4.229,4.235,4.688
loaf,4,3.742,6.29,2.406
loaf (be lazy),4,2.818,3.333,3.125
loaf (bread),4,3.086,6.844,2.424
loan,4,3.667,4.4,4.6
lobster,7,4.914,6.771,3.2
locate,6,4.514,3.886,4.114
location,8,4.303,4.636,4.788
lock,4,4.086,6.143,2.8
lock (door),4,4.314,6.206,2.618
lock (hair),4,4.177,5.742,2.382
locker,6,2.788,6.371,3.059
locket,6,4.457,6.353,1.829
log,3,3.219,6.25,3.125
log (record),3,3.118,4.971,3.939
log (wood),3,3.364,6.382,4.194
logs,4,3.303,6.563,3.688
logs (records),4,2.5,5.471,3.546
logs (wood),4,3.424,6.75,3.912
loins,5,5.625,5.313,3.375
lonely,6,3.625,2.727,4.344
long,4,4.059,3.657,4.971
long (not short),4,4.206,4.235,4.853
long (yearn),4,5.273,2.429,5.029
longing,7,4.909,2.429,4.771
loop,4,4.2,4.576,3.5
loophole,8,3.688,2.563,3.548
loose,5,3.793,3.313,3.758
lord,4,5.094,4.485,4.939
lorry,5,3,6.813,5.371
lose,4,3.909,3.818,3.824
loser,5,3.559,3.029,3.636
lost,4,4.156,3.5,4.097
lottery,7,5.543,5.086,4.914
loud,4,5.588,4.324,5.529
louse,5,3.533,5.387,2.233
lousy,5,3.5,2.471,3.813
lovable,7,6.765,3.229,5.515
love,4,8.147,2.849,6.294
lovely,6,6.382,3.265,4.364
lover,5,7.441,4.471,5.088
loving,6,7.229,2.571,6.177
low,3,3.353,3.886,2.829
loyal,5,6.242,3.091,5.313
loyalty,7,5.629,2.314,5.6
lubricant,9,6.294,5.6,3.364
lubricate,9,5.727,4.813,4
luck,4,6.849,2.206,4.657
lucky,5,6.625,2.258,4.781
luggage,7,3.382,6.588,4.139
lumber,6,3.355,5.065,4.323
lumber (move slowly),6,2.441,4.091,3.849
lumber (wood),6,3.657,6.314,4.794
lump,4,3.375,5.697,3.588
lunch,5,5.029,5.606,3.118
lunching,8,4.188,4.438,3.531
lungs,5,4.371,6.559,3.571
lure,4,5.273,2.941,3.912
luscious,8,6.938,2.912,4.636
lush,4,5.059,2.8,3.091
lust,4,7.353,2.794,5.441
luxury,6,6.333,3.355,5.258
lynx,4,4.645,6,3.97
lyrics,6,6,4.438,3.774
macabre,7,4.625,3.478,4.913
macaroni,8,4.645,6.633,2.226
machine,7,3.265,6.441,5.188
mad,3,5.813,3.031,5.226
mad (angry),3,6.571,3.647,5.029
mad (crazy),3,6.029,2.906,4.706
madman,6,6.065,4.563,4.939
madness,7,6.059,1.97,5.529
magazine,8,5.118,6.742,2.364
magazine (ammunition),8,4.486,6.057,3.939
magazine (publication),8,4.735,6.441,3.735
maggot,6,3.471,6.794,2.152
magic,5,6.576,2.171,4.971
magical,7,7.486,1.886,5.6
magnificent,11,7.353,2.514,5.886
magnitude,9,5.273,3.182,6.061
maid,4,3.971,6.171,3.057
maiden,6,4.765,5.314,3.441
maids,5,4.333,5.936,3.031
mail,4,3.667,5.818,3.061
main,4,4,3.343,4.765
maize,5,3.258,5.774,3
major,5,5.645,3.273,5.516
majority,8,4.6,3.692,5.891
make,4,4.765,3.677,4.455
malady,6,4.286,3.65,3.952
malaria,7,4.177,5.576,5.088
malice,6,5.394,2.788,4.618
malicious,9,5.912,3.057,4.912
mall,4,3.807,6,4.871
mallet,6,3.824,6.5,3.706
mammal,6,4.118,6.294,5
mammoth,7,4.063,6.412,5.571
man,3,5.657,6.088,4.647
management,10,2.75,3.818,5.133
manager,7,3.294,5.618,4.743
mangle,6,4.903,4.4,4.375
maniac,6,5.353,3.909,4.529
manic,5,6.219,2.938,5.29
mankind,7,5.424,3.394,6.182
manner,6,3.235,3.314,3.912
mansion,7,5.969,6.621,5.452
manure,6,3.2,6.194,3.531
many,4,4.636,4.129,5.353
marital,7,5.03,3.156,4.758
mark,4,3.667,4.971,2.939
mark (grade),4,5.143,5.029,4.667
mark (smudge),4,3.152,5.882,2.235
market,6,3.735,5.75,4.364
marquee,7,4.656,6.206,4.735
marriage,8,6.229,4.857,6.265
married,7,6.429,4.971,5.206
marry,5,5.97,4.636,5.531
marsh,5,3.229,5.6,4.4
marshal,7,3.313,5.273,4.485
martial,7,4,3.786,4.219
marvel,6,6.147,2.849,5.529
mask,4,4.147,6.029,2.943
mask (cover),4,4.879,5.032,3.727
mask (face),4,4.206,5.941,3.212
mass,4,3.853,4.486,5.182
mass (large number),4,4.375,4.182,6.394
mass (religious),4,2.765,4,5.088
mass (weight),4,4.353,4.636,5.412
massacre,8,6.257,4.943,6.257
massive,7,5.882,3.529,6.294
mast,4,3.367,6.094,4.849
master,6,5.767,4,5.097
masturbate,10,6.333,5.412,4.059
masturbation,12,6.171,4.559,4.471
match,5,4.5,4.719,3.433
match (fire),5,5.647,6.514,2.677
match (game),5,5.219,5.471,4.781
match (pairing),5,4.469,4.091,3.469
matches,7,4.375,6.156,2.645
mate,4,5.771,4.543,4.086
mate (copulate),4,7.129,5.364,4.794
mate (friend),4,6.147,5.727,4.546
material,8,3.824,5.606,3.735
mates,5,5.853,5.546,5.094
mathematics,11,4.364,4.727,5.455
matrix,6,5.273,2.849,5.212
matron,6,2.879,5.765,4.412
mattress,8,4.412,6.8,4.618
mauve,5,3.758,4.094,3.485
maximum,7,5.939,3.424,6.333
maze,4,5.088,5.594,5.03
meadow,6,4.229,6.057,5.257
meagre,6,2.677,2.714,2.414
mean,4,4.235,2.906,4.059
mean (average),4,3,4.294,4.029
mean (intend),4,4.229,2.806,4.389
mean (nasty),4,5.455,2.909,4.576
mean (stingy),4,4.061,2.97,3.531
measles,7,3.968,5.382,3.394
measure,7,4.125,3.807,4.059
meat,4,4.294,6.343,3.677
mechanic,8,3.455,6.177,3.941
mechanism,9,4.257,4.971,4.229
medal,5,6.147,6.471,3.455
medallion,9,4.424,6.114,3.229
meddle,6,4.697,2.912,3.735
medicine,8,5,5.364,5.147
medieval,8,4.406,4.273,5.194
medium,6,3.882,3.242,4
medium (intermediate),6,3.727,3.219,3.912
medium (spiritualist),6,4.333,3.818,3.613
meek,4,2.5,3.333,2.786
meet,4,4.571,4.314,3.412
meeting,7,4.2,4.688,4.206
melody,6,6.206,3.242,4
melon,5,4.484,6.71,2.75
melt,4,4.647,4.412,3.485
melted,6,4.438,4.543,3.571
memoirs,7,4.788,4.515,4.344
memory,6,5.057,2.853,5.242
menace,6,5.576,3.343,4.943
merchant,8,3.936,5.161,4.133
merciful,8,5.273,2.543,5
mercy,5,4.971,2.714,4.971
mermaid,7,6.194,4.069,3.406
merry,5,6.438,2.758,4.548
mess,4,4.156,4.333,4.774
message,7,4.743,5.171,3.171
messenger,9,4.382,5.143,3.909
messy,5,4.706,4.448,4.471
metal,5,4.5,6.214,4.031
methane,7,3.273,5.429,3.677
method,6,3.441,3,4.059
metre,5,3,5.219,3.394
metric,6,3.441,4.441,3.875
metropolis,10,5.194,4.727,5.97
mice,4,3.688,6.719,1.656
microphone,10,4.294,6.529,2.647
microscope,10,4.333,6.559,2.941
microwave,9,3.588,6.714,3.029
middle,6,3.882,4,3.853
midget,6,3.588,5.857,1.735
midst,5,3.242,2.912,3.529
midwife,7,3.257,6.294,4.2
might,5,4.152,2.281,4.194
might (possibly),5,4.229,2.118,3.4
might (strength),5,6.188,4,5.813
mighty,6,5.424,2.971,5.647
mild,4,2.75,3.531,3.375
mildew,6,2.69,5.233,2.788
mile,4,3.818,5.235,5.182
mileage,7,3.742,4.419,4.688
military,8,4.765,5.618,5.909
milk,4,3.529,6.794,2.546
mill,4,3.586,6.1,4.767
million,7,6.242,4.941,5.971
millionaire,11,6.794,5.667,5.625
mimic,5,3.824,3.686,3.618
mind,4,5.903,2.469,5.469
miner,5,3.686,6.029,3.971
mingle,6,5.6,3.829,3.629
minimum,7,2.688,3.156,1.97
minister,8,3.529,5.543,4.371
mink,4,3.546,5.364,2.75
minor,5,3.627,3.554,2.349
minority,8,3.788,3.03,2.485
mint,4,4.406,6.3,1.97
mint (food),4,4.5,6.486,2.314
mint (money),4,5.71,4.879,4.594
minute,6,3.636,4.182,2.5
minute (small),6,3.667,4.086,1.364
minute (time),6,4.031,4.152,2.469
miracle,7,6.941,2.324,5.765
miraculous,10,6.412,2.265,6.029
mirage,6,5.303,2.788,4.5
mirror,6,4.382,6.588,3.735
mischief,8,6.328,2.729,4.5
mischievous,11,6.629,2.912,4.343
misconception,13,3.906,2.156,4.258
miser,5,3.125,3.917,3.852
miserable,9,3.314,2.563,4.206
misery,6,3.273,2.735,4.394
missile,7,5.469,6.156,5.844
mission,7,5.771,3.971,5.514
mistake,7,4.559,3.394,5.091
mistress,8,5.441,5.242,4.382
mob,3,5.177,5.177,5.353
mobility,8,4.4,3.529,5.121
mock,4,4.206,3.088,4.091
mode,4,3.514,3.061,3.912
model,5,5.065,5.324,4
modest,6,3.882,2.571,3.714
moist,5,5.257,4.971,3.382
moisture,8,5.375,5.031,3.281
mole,4,2.406,6.303,2.424
mole (animal),4,3.086,6.677,2.4
mole (skin),4,3,6.171,2.088
mole (spy),4,4.844,4.484,3.394
molecule,8,3.443,5.412,2
Mom,3,5.667,6.424,5.094
