Words,Length,AROU,CNC,SIZE
,,M,M,M
belly,5,4.594,6,4.031
belong,6,5.188,2.188,5.1
belt,4,4.516,6.621,2.438
bench,5,2.677,6.6,3.152
bend,4,4.088,4.6,3.559
beneficial,10,5.971,2.8,5.471
benefit,7,5.286,3.6,5.059
bereavement,11,3.455,3.364,5.303
berry,5,4.853,6.588,1.657
best,4,6,2.647,4.969
betray,6,5.206,2.742,5.382
betrayal,8,5.333,2.265,5.765
beverage,8,4.912,6.343,3.171
beware,6,5.546,2.406,4.849
bicycle,7,4.941,6.818,3.818
bid,3,4.286,3.485,3.794
bigot,5,4.419,4.031,4.6
bike,4,4.829,6.546,3.375
billion,7,6.265,4.088,6.206
binder,6,3.212,5.323,2.818
biology,7,5.182,5.182,4.941
bird,4,4.862,6.633,2.548
birth,5,5.471,5.849,5.114
birthday,8,6.242,5.057,4.588
biscuit,7,4.943,6.229,2.371
bishop,6,3.065,6,3.903
bison,5,3.63,6.214,4.63
bit,3,3.265,4.324,2.061
bit (bite),3,4,5.029,3
bit (horse bridal),3,2.828,6,2.346
bit (small amount),3,2.824,3.618,1.714
bitch,5,6.727,4.273,4.735
bitchy,6,5.813,2.667,4.242
bitter,6,4.794,3,3.788
bizarre,7,6.156,2.129,4.375
black,5,3.657,5.371,4.629
blackmail,9,5.091,3.588,5.059
blacksmith,10,3.706,6.455,4.242
blade,5,5.625,6.5,3.6
blame,5,4.343,2.543,5.171
bland,5,2.333,2.563,2.969
blank,5,3.229,3.914,3.286
blasphemy,9,5.152,2.546,5.03
blaze,5,6.857,5.059,5.371
blazes,6,6.467,4.452,5
bleak,5,2.882,2.429,3.618
blend,5,4.121,3.719,3.382
blender,7,4.258,6.533,3.125
bless,5,4.065,2.032,4.29
blessed,7,5.455,2.059,5.412
blessing,8,5.057,2.722,5
blessings,9,4.727,2.909,5.061
blimp,5,3.9,5.931,4.75
blind,5,4.147,5.314,3.909
bliss,5,6.455,2.667,5
blister,7,3.235,6.147,2.677
block,5,3.303,5.294,3.824
bloke,5,4.771,5.457,4
blond,5,5.061,5.394,3.091
blonde,6,5.242,5.943,3.412
blood,5,5.406,6.057,4.118
bloody,6,5.4,5.088,4.677
bloom,5,6.156,4.152,4.065
blossom,7,5.943,5.394,3.514
blouse,6,4.094,6,2.656
blow,4,4.706,4.471,3.906
blow (hit),4,5.438,5.281,4.774
blow (wind),4,4.543,4.514,4.486
blubber,7,3.667,4.912,4.324
blubber (cry),7,3.853,4.03,3.677
blubber (fat),7,3.265,5.882,4.588
blue,4,4.912,4.886,3.606
blueberry,9,5,6.758,2.118
bluff,5,4.303,3.529,3.969
blunder,7,4.406,2.941,4.235
blunt,5,4.147,3.936,3.281
board,5,3.353,6.057,3.571
board (enter),5,4.121,4.788,3.939
board (executive),5,3.303,4.939,4.697
board (wooden),5,2.857,6.543,3.286
boarded,7,3.088,3.853,4.235
boast,5,4.667,3.194,4.97
boastful,8,4.061,3.088,4.943
boat,4,4.642,6.716,4.779
body,4,5.212,6,4.061
boil,4,4.647,5.324,4.091
boiler,6,3.424,6.229,4.235
bold,4,5.594,3.559,5.125
bollocks,8,5,5.143,3.629
bomb,4,6.697,6.5,5.353
bomber,6,5.452,5.333,5.094
bond,4,5.229,3.714,4.6
bondage,7,5.909,4.788,4.516
bonds,5,4.394,3.853,4.143
bonds (money),5,4.273,5.257,4.781
bonds (restraints),5,5.743,5.086,4.618
bone,4,3.875,6.606,3.367
bones,5,4.647,6.882,3.647
bongo,5,5.147,5.906,3
bonnet,6,3.129,6.469,2.781
bonus,5,5.543,4,4.968
book,4,5.156,6.793,3.188
book (read),4,4.781,6.563,3.355
book (reserve),4,3.714,4.706,3.273
bookcase,8,4.094,6.5,4.088
boom,4,6.265,3.438,5.969
boost,5,5.588,3.324,4.515
boot,4,4.484,6.586,2.936
boot (car),4,3.118,6.229,3.576
boot (evict),4,4.294,4.029,4.088
boot (shoe),4,3.618,6.667,2.794
bored,5,2.469,3.057,3.971
boredom,7,2.457,2.857,4.343
boring,6,2.2,2.914,3.714
born,4,5.161,4.3,3.839
borrow,6,3.061,3.485,3.818
bosom,5,5.559,5.765,4.2
boss,4,3.909,6.029,5.364
botanist,8,3.654,5.259,4.133
botany,6,3.345,5.138,4.1
bother,6,3.543,2.686,4.114
bottle,6,4,6.429,2.742
bottom,6,4.156,4.781,3.636
bought,6,4.824,4.088,4.094
boulder,7,3.152,6.265,5.364
bounce,6,5.697,4.531,3.906
bouncy,6,6.314,4.059,3.857
bound,5,4.647,3.824,4.061
bouquet,7,5.588,5.8,3.4
bout,4,3.667,3.581,4.267
bow,3,4.125,5.514,2.829
bow (bend),3,3.353,4.697,2.625
bow (ribbon),3,4.257,6.059,2.412
bow (ship),3,3.438,6.613,4.548
bow (weapon),3,4.971,6.794,3.743
bowel,5,3,6.091,3.529
bowl,4,3,6.546,2.688
box,3,3.258,6.29,3.387
box (container),3,2.618,6.429,2.941
box (sport),3,4.212,5.394,4.147
boxer,5,5.594,6.152,4.677
boxer (dog),5,4.147,6.647,3.382
boxer (fighter),5,5.229,6.471,5.059
boxing,6,4.606,5.971,4.03
boy,3,4.294,6.412,3.375
boycott,7,5.677,2.939,5.194
bra,3,6.088,6.629,2.971
bracelet,8,5.147,6.743,2.441
bracket,7,2.938,5.594,2.355
brain,5,5.936,6.355,4.313
brainy,6,5.968,3.125,4.581
brake,5,4.086,5.514,3.629
brand,5,4.219,3.333,4.438
brass,5,3.968,5.5,3.938
brasserie,9,4.667,5.394,3.121
brassiere,9,5.412,6,3.765
brave,5,6.529,2.629,5.647
bravery,7,7.063,3.387,6
brazen,6,4.448,2.448,4.6
breach,6,4.697,3.543,4.629
bread,5,4.258,6.828,2.8
break,5,4.909,4.387,3.758
break (destroy),5,5.912,4.941,4.97
break (luck),5,6.032,2.879,4.697
break (rest),5,4.588,4.059,3.438
breakfast,9,5.029,5.853,3.118
breast,6,6.294,6.485,3.485
breasts,7,5.941,6.529,3.514
breeze,6,5.088,4.618,3.235
brew,4,4.303,5,3.171
brewer,6,3.906,5.118,3.656
bribe,5,5.143,3.677,4.5
bridal,6,5.364,4.394,4.375
bridal (horse),6,3.546,6.063,3.969
bridal (marriage),6,5.667,4.594,5.294
bride,5,6,6.471,4.375
bridegroom,10,5,5.903,4.3
bridesmaid,10,4.571,5.886,3.971
bridesmaids,11,5.294,6.344,4.029
bridge,6,3.636,6.938,4.97
bridge (card game),6,2.765,5.324,2.677
bridge (structure),6,3.529,6.8,5.677
brief,5,3.235,3.147,2.765
bright,6,6.324,4.594,4.706
bright (light),6,5.455,4.706,4.824
bright (smart),6,6.771,2.914,5.114
brilliant,9,7.394,2.886,5.657
brilliant (great),9,7.212,2.576,5.818
brilliant (intelligent),9,7.235,3.029,5.714
brilliant (luminous),9,6.829,3.5,5.849
brink,5,4.807,3.588,3.484
brisk,5,5.344,3.576,3.788
broccoli,8,4.219,6.655,2.594
broken,6,4.324,3.364,3.75
bronze,6,4.5,5.771,3.571
broom,5,3.091,6.25,3
brother,7,4.441,6.242,4.394
brow,4,3.697,5.788,2.758
brown,5,2.719,5.152,3.594
brunch,6,5,5.177,2.765
brunette,8,5.529,5.697,3.441
brush,5,4.129,6.219,2.219
brushed,7,4.161,4.121,3.433
brutal,6,5.543,3.686,5.143
brute,5,4.735,4.03,4.853
bubble,6,4.912,5.571,1.943
bubbly,6,5.514,3.571,3.714
buffalo,7,4.118,6.441,4.914
bugle,5,2.92,5.583,2.667
build,5,4.714,5.229,4.853
builder,7,3.813,6.229,3.939
building,8,2.969,6.813,5.152
bulb,4,3.219,6.594,2.774
bulb (light),4,3.765,6.229,3
bulb (plant),4,2.788,6.441,2.606
bulge,5,4.333,5.125,4.273
bulk,4,4.235,4.824,5.364
bull,4,4.8,6.588,4.788
bulldozer,9,4.147,6.647,4.677
bullet,6,5.647,6.727,3.242
bullish,7,4.115,3.333,4.552
bully,5,4.514,5.029,5.343
bundle,6,3.943,5,3.486
bungalow,8,3.091,6.303,4.25
bunk,4,3.6,5.657,3.171
bunk (bed),4,3.543,6.559,3.824
bunk (truant),4,4.767,3.69,3.71
bunny,5,4.758,6.629,2.2
buoy,4,3.767,6.515,2.594
burden,6,4.206,2.875,4.879
burger,6,5.212,6.625,3.156
burglar,7,5.438,5.552,4.313
burglary,8,5.781,4.258,4.719
burgle,6,5.118,4.97,4.697
burial,6,4.091,5.686,5
burn,4,4.818,5.353,4.344
burner,6,4.441,5.086,3.735
burnt,5,5.194,4.375,3.871
burst,5,5.938,3.882,4.677
bury,4,3.882,4.714,3.914
bus,3,3.177,6.882,4.882
business,8,3.969,4.743,5.457
businessman,11,3.382,6.059,4.343
bust,4,5.441,4.971,4.257
bust (break),4,4.516,3.636,3.613
bust (breasts),4,6.2,6.697,3.743
bust (sculpture),4,4.484,6.219,3.781
busy,4,4.382,3.571,4.212
busybody,8,4.452,4.226,3.69
butcher,7,4.143,6.294,4.229
butler,6,3.781,5.656,3.294
butt,4,5.467,6.387,3.469
butter,6,4.323,6.233,2.581
butterfly,9,5.774,6.452,2.485
button,6,3.677,6.382,1.818
buy,3,5.706,4.206,4.314
buzzard,7,4.414,6.357,3.281
cabin,5,4.177,6.457,3.588
cabinet,7,3.147,6.714,4.143
cabinet (closet),7,3.194,6.71,3.909
cabinet (council),7,3.267,4.807,5.25
cacti,5,4.371,6.743,3.5
cactus,6,4.457,6.486,3.629
cafe,4,4.515,6.121,3.939
cake,4,5.941,6.829,3.143
cakes,5,6.333,6.688,2.882
calcium,7,4.086,5.143,3.088
calculus,8,2.879,4.25,4.226
calendar,8,3.516,6,3.706
calf,4,3.886,6.629,2.686
calf (cow),4,3.515,6.697,3.424
calf (muscle),4,3.765,6.576,3.455
call,4,4.794,4.441,3.906
call (shout),4,5.235,4.788,4.452
call (telephone),4,4.588,4.735,3.412
call (visit),4,4.546,4.206,3.235
calm,4,3.743,3.794,3.829
camel,5,4.469,6.807,4.188
camera,6,4.677,6.727,3.029
camouflage,10,4.657,5.324,3.771
camp,4,4.294,5.057,3.697
camp (effeminate),4,4.094,3.133,4
